group_dataset,categ_delito,sexo,percentil_50,minimo,maximo
7,"Acoso, abuso, violación y otros delitos sexuales",0,0.0,0.0,8.0
7,"Acoso, abuso, violación y otros delitos sexuales",1,0.0,0.0,24.0
7,Amenazas,0,0.0,0.0,26.0
7,Amenazas,1,0.0,0.0,50.0
7,Fraude,0,0.0,0.0,88.0
7,Fraude,1,0.0,0.0,46.0
7,Robo a negocio,0,0.0,0.0,70.0
7,Robo a negocio,1,0.0,0.0,10.0
7,Robo a transeúnte,0,2.0,0.0,126.0
7,Robo a transeúnte,1,0.0,0.0,41.0
7,"Robo de vehículo, autopartes y en transporte individual",0,2.0,0.0,56.0
7,"Robo de vehículo, autopartes y en transporte individual",1,0.0,0.0,24.0
7,Robo en transporte público individual o colectivo,0,0.0,0.0,47.0
7,Robo en transporte público individual o colectivo,1,0.0,0.0,17.0
7,Robo simple,0,2.0,0.0,46.0
7,Robo simple,1,0.0,0.0,21.0
7,Homicidio,0,0.0,0.0,24.0
7,Homicidio,1,0.0,0.0,12.0
7,Lesiones,0,0.0,0.0,24.0
7,Lesiones,1,0.0,0.0,28.0
